Pclass,Age,SibSp,Parch,Ticket,Fare,Family,Name_0,Name_1,Sex_female,Sex_male,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Embarked_C,Embarked_Q,Embarked_S
3,22.0,1,0,713,7.25,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,38.0,1,0,264,71.2833,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
3,26.0,0,0,713,7.925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,35.0,1,0,264,53.1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
3,35.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,8.4583,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,54.0,0,0,264,51.8625,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
3,2.0,3,1,70,21.075,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,27.0,0,2,147,11.1333,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,14.0,1,0,264,30.0708,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
3,4.0,1,1,147,16.7,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1,58.0,0,0,713,26.55,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
3,20.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,39.0,1,5,70,31.275,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,14.0,0,0,713,7.8542,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,55.0,0,0,713,16.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,2.0,4,1,24,29.125,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2,28.0,0,0,713,13.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,31.0,1,0,264,18.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.225,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2,35.0,0,0,264,26.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,34.0,0,0,713,13.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3,15.0,0,0,713,8.0292,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,28.0,0,0,713,35.5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,8.0,3,1,70,21.075,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,38.0,1,5,70,31.3875,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.225,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,19.0,3,2,24,263.0,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.8792,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3,28.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,40.0,0,0,713,27.7208,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
